STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,tra_cov,Transport coverage,schedule,Type of schedule,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-01,,1102669,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-02,,1080644,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-03,,1303859,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-04,,1139301,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-05,,1643950,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-06,,1901034,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-07,,2144399,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-08,,2113598,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-09,,1902745,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-10,,1639194,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-11,,1240583,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2010-12,,1171139,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-01,,1248411,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-02,,1153059,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-03,,1376838,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-04,,1544777,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-05,,1831676,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-06,,2067128,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-07,,2331393,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-08,,2313378,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-09,,2216804,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-10,,1769415,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-11,,1404737,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2011-12,,1378056,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2012-01,,1333854,,,,,
